price,volume,type
238199.9999,1.425e-05,sell
238299.9999,1.425e-05,sell
238399.9999,1.425e-05,sell
238499.9999,1.425e-05,sell
238599.9999,1.425e-05,sell
238644.0,0.00973666,sell
238699.9999,1.425e-05,sell
238710.0,0.00033219,sell
238799.9999,1.425e-05,sell
238880.0,0.0153,sell
238894.996,0.00020048,sell
238899.9999,1.425e-05,sell
238910.27686,0.00204912,sell
238998.0,0.0029,sell
238999.9999,1.425e-05,sell
239000.0,0.00543666,sell
239099.9999,1.425e-05,sell
239199.9999,1.425e-05,sell
239299.9999,1.425e-05,sell
239399.9999,1.425e-05,sell
239456.41,0.00060602,sell
239471.27,0.0005,sell
239495.12586,0.0004329,sell
239499.9999,1.425e-05,sell
239500.0,0.0001,sell
239552.45914,0.00150199,sell
239599.9999,1.425e-05,sell
239699.9999,1.422e-05,sell
239799.9999,1.422e-05,sell
239862.1,0.0001,sell
239876.54,0.0019,sell
239899.9999,1.422e-05,sell
239998.95,0.1,sell
239999.91,0.001184,sell
239999.99,0.00248513,sell
239999.9999,1.422e-05,sell
240000.0,0.43996667,sell
240000.8,0.00022652,sell
240099.9999,1.422e-05,sell
240199.9999,1.422e-05,sell
240250.0,0.00043403,sell
240281.12,0.0002,sell
240299.9999,1.422e-05,sell
240399.9999,1.422e-05,sell
240499.9999,1.422e-05,sell
240500.0,0.03162839,sell
240599.9999,1.422e-05,sell
240612.56,4.251e-05,sell
240699.9999,1.422e-05,sell
240799.9999,1.422e-05,sell
240899.9999,1.844e-05,sell
240999.9999,1.42e-05,sell
241000.0,0.0064106,sell
241000.17,0.00299297,sell
241001.0,0.00117022,sell
241050.0,0.00098015,sell
241099.9999,1.42e-05,sell
241100.13,6.994e-05,sell
241199.9999,1.42e-05,sell
241299.9999,1.42e-05,sell
241399.9999,1.42e-05,sell
241443.32,0.00441821,sell
241499.9999,1.42e-05,sell
241500.0,0.09901977,sell
241599.9999,1.42e-05,sell
241600.0,0.00021671,sell
241680.0,0.00083486,sell
241699.9999,1.42e-05,sell
241799.9999,1.42e-05,sell
241899.9999,1.42e-05,sell
241999.9999,1.42e-05,sell
242000.0,0.06894805,sell
242023.11,0.0057986,sell
242083.5768,0.0001,sell
242099.9999,1.42e-05,sell
242199.9999,1.42e-05,sell
242233.0,0.00042521,sell
242299.9999,1.42e-05,sell
242399.9999,1.42e-05,sell
242494.99,0.00051187,sell
242499.9999,1.42e-05,sell
242500.0,0.02313591,sell
242509.87,0.00062525,sell
242550.99,0.00046015,sell
242599.9999,1.42e-05,sell
242622.22,0.00417877,sell
242657.62,0.0001629,sell
242699.9999,1.417e-05,sell
242799.9999,1.417e-05,sell
242802.86,0.0025,sell
242899.9999,1.417e-05,sell
242999.99,0.00144941,sell
242999.9999,1.417e-05,sell
243000.0,0.00362435,sell
243001.26,0.00332389,sell
243099.9999,1.417e-05,sell
243199.9999,1.417e-05,sell
243299.9999,1.417e-05,sell
243300.0,0.00060544,sell
243399.9999,1.417e-05,sell
243455.15222,0.03208531,sell
243499.9999,1.417e-05,sell
243526.0,0.0009211,sell
243567.89,0.00083907,sell
243599.9999,1.417e-05,sell
243614.31,0.00044844,sell
243652.5,0.00421504,sell
243699.9999,1.417e-05,sell
243799.9999,1.417e-05,sell
243899.9999,1.417e-05,sell
243900.0,0.00292891,sell
243999.9999,1.417e-05,sell
244000.0,0.02495049,sell
244099.9999,1.417e-05,sell
244199.9999,1.417e-05,sell
244299.9999,1.417e-05,sell
244399.9999,1.417e-05,sell
244400.0,0.00039829,sell
244400.27,0.0005,sell
244444.44,0.00194593,sell
244499.9999,1.417e-05,sell
244532.0,0.004,sell
244599.9999,1.417e-05,sell
244600.0,0.05,sell
244615.62,0.00024187,sell
244699.9999,1.417e-05,sell
244799.9999,1.417e-05,sell
244876.54,0.0019,sell
244899.9999,1.417e-05,sell
244998.0,0.003,sell
244999.9999,1.413e-05,sell
245000.0,0.7012805,sell
245000.15,0.0002,sell
245099.9999,1.413e-05,sell
245199.9999,1.413e-05,sell
245299.9999,1.413e-05,sell
245375.57,0.009,sell
245399.9999,1.413e-05,sell
245424.1,0.0018764,sell
245499.9999,1.413e-05,sell
245555.05,0.05250603,sell
245555.55,0.0011,sell
245599.9999,1.413e-05,sell
245645.58,0.004,sell
245680.0,0.000665,sell
245699.9999,1.413e-05,sell
245778.9055,0.00069002,sell
245799.9999,1.413e-05,sell
245888.8,0.00017307,sell
245898.0,0.00736329,sell
245899.9999,1.413e-05,sell
245999.9999,1.413e-05,sell
246000.0,0.81919455,sell
246099.9999,1.413e-05,sell
246199.9999,1.413e-05,sell
246299.9999,1.413e-05,sell
246399.9999,1.413e-05,sell
246499.9999,1.413e-05,sell
246510.0,6.141e-05,sell
246599.9999,1.413e-05,sell
246699.9999,1.413e-05,sell
246799.9999,1.41e-05,sell
246899.9999,1.41e-05,sell
246960.0,0.0045,sell
246963.0,0.0033,sell
246999.9999,1.41e-05,sell
247000.0,0.000865,sell
247099.9999,1.41e-05,sell
247170.17,0.00997602,sell
247199.9999,1.41e-05,sell
247200.0,0.0010144,sell
247299.9999,1.41e-05,sell
247313.13,0.00364937,sell
247399.9999,1.41e-05,sell
247499.9999,1.41e-05,sell
247511.61,4.252e-05,sell
247599.9999,1.41e-05,sell
247699.9999,1.41e-05,sell
247799.9999,1.41e-05,sell
247831.26,0.00120761,sell
247899.9999,1.41e-05,sell
247999.9999,1.408e-05,sell
248000.0,0.33041117,sell
248099.9999,1.408e-05,sell
248199.9999,1.408e-05,sell
248299.9999,1.408e-05,sell
248399.9999,1.408e-05,sell
248499.9999,1.408e-05,sell
248500.0,0.094304,sell
248599.9999,1.408e-05,sell
248699.9999,1.408e-05,sell
248799.9999,1.408e-05,sell
248880.0,0.1,sell
248899.9999,1.408e-05,sell
248900.0,0.03247194,sell
248998.0,0.003,sell
248999.9999,1.408e-05,sell
249000.0,0.08166173,sell
249000.08,3.698e-05,sell
249099.9999,1.408e-05,sell
249199.9999,1.406e-05,sell
249299.9999,4.676e-05,sell
249399.9999,0.00010406,sell
249499.9999,0.00010406,sell
249509.999,0.0001,sell
249560.0,0.0001,sell
249599.9999,0.00010406,sell
249667.0,0.02,sell
249699.9999,0.00010406,sell
249700.0,0.00150228,sell
249799.9999,0.00010406,sell
249800.0,0.001,sell
249874.56,0.17217494,sell
249876.54,0.0019,sell
249895.0,0.005,sell
249899.9999,0.00010406,sell
249900.0,0.11800465,sell
249998.0,1.003,sell
249999.0,0.00283716,sell
249999.9999,0.00010406,sell
250000.0,2.62683189,sell
250000.07,0.01011525,sell
250000.08,0.00060383,sell
250008.15,1.629e-05,sell
250088.88,0.04416423,sell
250099.9999,4.06e-06,sell
250199.9999,4.06e-06,sell
250222.22,0.00025378,sell
250299.9999,4.04e-06,sell
250364.43,0.00044685,sell
250399.9999,4.04e-06,sell
250439.79131,0.15116624,sell
250499.9999,4.04e-06,sell
250500.0,0.00866465,sell
250538.34,0.00026795,sell
250555.0,0.00078238,sell
250599.9999,4.04e-06,sell
250699.9999,4.04e-06,sell
250799.9999,4.04e-06,sell
250805.0,0.0013,sell
250899.9999,4.04e-06,sell
250965.88,0.00110061,sell
250980.01,0.0051,sell
250999.9999,0.00010404,sell
251000.0,0.01220975,sell
251068.86,0.00181,sell
251099.9999,4.04e-06,sell
251199.9999,4.04e-06,sell
251299.9999,4.04e-06,sell
251360.0,0.00641302,sell
251399.9999,4.04e-06,sell
251499.9999,4.04e-06,sell
251599.9999,4.04e-06,sell
251699.9999,4.02e-06,sell
251799.9999,4.02e-06,sell
251829.09,0.000189,sell
251899.9999,4.02e-06,sell
251900.0,0.00503938,sell
251999.9999,4.02e-06,sell
252000.0,0.00467963,sell
252099.9999,4.02e-06,sell
252199.9999,4.02e-06,sell
252299.9999,4.02e-06,sell
252399.9999,4.02e-06,sell
252499.9999,4.02e-06,sell
